count nobl hse
1 25.0 669056
1 18.0 514885
1 21.0 2252091
1 38.0 916839
1 2.0 2105599
1 49.0 538009
1 53.0 1658803
1 48.0 2132939
1 43.0 786726
1 50.0 1866225
1 101.0 2366585
1 34.0 895520
1 57.0 745447
1 9.0 1367364
1 69.0 3132935
1 83.0 4371757
1 26.0 960184
1 47.0 967389
1 15.0 523094
1 32.0 591967
1 79.0 2466266
1 24.0 915920
1 42.0 1391598
1 27.0 581725
1 43.0 1040613
1 67.0 2312732
1 27.0 719318
1 25.0 523867
1 41.0 899347
1 82.0 4065803
1 82.0 3407787
1 48.0 1147334
1 16.0 582460
1 58.0 1435512
1 45.0 757721
1 8.0 1054332
1 20.0 751986
1 33.0 613394
1 39.0 1075732
1 19.0 786492
1 6.0 340734
1 14.0 1336668
1 49.0 904990
1 26.0 715572
1 46.0 1346822
1 42.0 1219856
1 37.0 731203
1 22.0 340074
1 4.0 751835
1 46.0 881869
1 7.0 607442
1 32.0 713307
1 6.0 1361121
1 74.0 550204
1 48.0 971814
1 44.0 1558504
1 28.0 359594
1 33.0 154638
1 8.0 637616
1 40.0 1670963
1 5.0 505504
1 34.0 40040
1 62.0 1685503
1 20.0 1283854
